,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
PPG,0.0004975584765723307,0.019441275643738574,0.0010674813753622499,0.5292056074766355,-45.798442750164014,206,0.9434463584361619,-0.00013619428621354447,0.019469445547757466,-0.029109850059953375,-0.0473903500485417,0.0006404853391625226,0.7596357341947076,-0.01236521166771017
PPL,2.0003546461285712e-05,0.018864238469231843,0.00035206059993540004,0.5105140186915887,-49.40119950107829,152,0.8203303572816739,-0.0005310469988883606,-0.0052503615636473894,-0.025269272983311424,-0.0479222365791506,0.0005724397885303995,17.789820105788078,-0.04333945709701318
PRU,0.0005893058734501862,0.026880498292205166,0.00134486244488035,0.5292056074766355,-62.89849440887543,509,1.4376822810228542,-0.00037644603121221815,0.017494402421064238,-0.0375853225509343,-0.06302497176372379,0.0009136468712073026,1.226122495957649,-0.00445268450077848
PSA,0.0008463765135392237,0.01587865884272814,0.00112356077004155,0.5490654205607477,-39.33292795389023,405,0.5433087063857017,0.0004814131103328114,0.04580543619555724,-0.022613599629749598,-0.03874980881714446,0.0004193314143509716,0.2978955613848848,0.011402562331034182
PSX,0.00013530781826628978,0.028769094864872186,0.00052376862973645,0.5116822429906542,-64.837091707874,179,1.199298957483157,-0.0006703119405200279,0.0005651967604488265,-0.041512299656318974,-0.06675455943299431,0.0007818936924192752,6.116873584608054,-0.022996479221847332
PTC,0.0005622599035663274,0.025216774516276845,0.0014488885640909,0.5373831775700935,-52.44871817335386,400,1.1046542918132247,-0.00017978303623614373,0.01757608944921267,-0.03956648103298125,-0.06309525098995403,0.000729584095538992,1.1309462278412967,-0.005537734444625781
PVH,0.00031608568355336237,0.03868420992659848,-0.00119981920607535,0.47897196261682246,-78.11016670378541,96,1.642179773753534,-0.0007870358233572042,0.005093501066187316,-0.05408324192816573,-0.08675955604418224,0.00102667153384467,4.734374808824592,-0.011065377197396852
PWR,0.0019014782334446966,0.023487919007016928,0.00151917496702145,0.5315420560747663,-45.60000174386146,188,1.0872687788208857,0.0011711138769478074,0.07588712366832426,-0.032612890013747994,-0.050861775051886646,0.0007199752161610696,0.2901333970469731,0.06942147219376925
PXD,0.0010559179925742476,0.03330826426780188,0.0004695078948345,0.5093457943925234,-67.72414540067074,618,1.343978178479504,0.0001531110909215055,0.028127264933233805,-0.043673718328262896,-0.06969305633313852,0.0008618571185004201,1.0506880992045569,0.013871029384280052
PYPL,0.0007319477174720955,0.02719182566427166,0.0015084782461329,0.5327102803738317,-69.6593520951865,141,1.2811032974479648,-0.00012862347124661076,0.02253986569315897,-0.04104452173894935,-0.06227728209850153,0.0008271065104510915,1.0101751331499047,0.0029276487512935774
QCOM,0.001346717858582397,0.027148093572529893,0.00076047953432745,0.514018691588785,-36.492547678344465,193,1.2340100705195098,0.0005177811792425617,0.04522123206386064,-0.036386729100393825,-0.059052018893948933,0.0008010783376113221,0.5472705213834851,0.03219404287749197
QRVO,0.0011041177159688122,0.028706836210625863,0.00090472079954535,0.5198598130841121,-41.55712804853543,237,1.411550391550403,0.00015591970507248534,0.03431482625579507,-0.04223364760638425,-0.06409550394795685,0.0008992039166641362,0.7463719070032366,0.0202760247270719
RCL,0.0005148549844993716,0.04440836099503739,-0.000436154885186,0.4894859813084112,-83.46538362154044,160,1.6794858330193165,-0.0006133265779373335,0.008912901908178594,-0.053295620788696374,-0.10507247727170355,0.0010472903918391674,3.830403872234367,-0.004060213261403712
RE,0.0005767822278830039,0.020587661513607247,0.00092676380203425,0.5350467289719626,-44.57467890284394,503,0.9361394276082802,-5.206216087794927e-05,0.02223344348909413,-0.030312298508080576,-0.0485761103740541,0.0006364468378552055,0.7348558712610687,-0.006039445934853693
REG,0.0004290099470149256,0.026536545499008978,0.0006227574898878,0.5163551401869159,-53.834048993809226,579,1.0480945046348584,-0.00027503939509505285,0.011680583216036251,-0.03246935796662207,-0.05729236633628976,0.000698323805843924,1.641426386312843,-0.011056641842393205
REGN,0.0009081017472840605,0.0210149055624706,0.00105406987876605,0.5186915887850467,-37.789206065330994,274,0.6408230832591066,0.00047763381888418424,0.037547355418316566,-0.03204955224151405,-0.04479955374922189,0.00047322708515474453,0.4863180333265166,0.012055406769329029
RF,0.0008335906885790959,0.029300014616319085,0.0006422797096652,0.5070093457943925,-58.34748103148776,544,1.4110490836099878,-0.00011427057260231211,0.02438712331336181,-0.04397290280564055,-0.06756802381345085,0.0008989268464659333,1.029870976581876,0.007316766469942471
RHI,0.0009992508031111398,0.02297494182790256,0.000889691003348,0.5198598130841121,-50.32708574767197,449,1.0456269062530859,0.0002968590510463298,0.038311443426356506,-0.031317647576025974,-0.05229979120719807,0.0006969599775108711,0.5282437105400032,0.01869735511596762
RJF,0.0010489199250161671,0.024200276479371608,0.0015835505261747999,0.5397196261682243,-45.58562194444674,222,1.2833646607099125,0.00018682968309204344,0.03842403646756574,-0.03506338026260927,-0.05605130256858631,0.0008283563537443723,0.5583394572936536,0.023021774368422728
RL,0.00035519057950319263,0.028876021701738263,0.0008048223902994,0.514018691588785,-55.40935771988149,628,1.1222799805388186,-0.0003986922797880396,0.008177821823750686,-0.043704539515017723,-0.06688379959666677,0.0007393257187508968,2.3475415099283743,-0.013127779355709782
RMD,0.0013752370235367952,0.02259583773949151,0.00238228176614105,0.5794392523364486,-35.26214500117833,96,0.9329645833268665,0.0007485253117603567,0.05559384073172429,-0.0281590746519731,-0.05293720067167226,0.0006346921185232403,0.3712610076744114,0.038428873086786754
ROK,0.0008713401787945969,0.02187098659731426,0.0008721090320592,0.5245327102803738,-42.360413087066505,143,1.0984617065159215,0.00013345706006288427,0.034396827797396154,-0.0299897107443519,-0.04770988166360668,0.0007261614870036268,0.5489705012818652,0.012992583929881134
ROL,0.0005430196911858862,0.018903122046659827,0.0015586515011759999,0.5362149532710281,-31.33986466895582,280,0.7332191371789029,5.0485431278572495e-05,0.022428679828218265,-0.026932337819632026,-0.046796529038655964,0.0005242938864336349,0.6580387947452838,-0.007939859271865385
ROP,0.0007979446400884135,0.01787616247550377,0.00135079087652795,0.5514018691588785,-35.248135885237765,206,0.9330149403936009,0.00017119910134355922,0.03797778309360899,-0.024425629618789524,-0.04342544611452603,0.000634719950602759,0.40047538237139063,0.010505462917623947
ROST,0.00027249506815409677,0.02475957732928001,0.0010713937981997,0.5233644859813084,-51.562876663233894,263,1.153471048484654,-0.0005023401487440704,0.00619749873213768,-0.0382844051409187,-0.056656667291243475,0.0007565648539833276,2.249716568000132,-0.021392709810558973
RSG,0.000830890554224532,0.014754876553874221,0.0011850705050484001,0.5502336448598131,-34.02369617157542,186,0.7494532396347359,0.0003274511620956185,0.04824458765058273,-0.019224284689455275,-0.03543088374240533,0.0005332663874104926,0.26201571435994003,0.01472511667125179
RTX,0.0004733904327690552,0.02317457734869906,0.00046694341426695,0.5151869158878505,-52.209400228130484,517,1.1405547200709403,-0.0002927683408485325,0.015290152152066225,-0.03438174192585512,-0.056477657106457996,0.0007494260688472377,1.1344991324588984,-0.011904162227968154
SBAC,0.0010689362925933703,0.018807413343193833,0.0008532454616196001,0.5362149532710281,-28.947363918809742,201,0.7476853212564084,0.0005666844859022787,0.05050607737557403,-0.028200431961001648,-0.04171446707038699,0.0005322892684462811,0.3309072758710253,0.024952633101267722
SBNY,0.001694465813198027,0.03032401799510147,0.00121106317013755,0.5245327102803738,-51.20677883342153,246,1.200471248874758,0.0008880585767755152,0.0519528182051897,-0.04016334508769203,-0.06526917662576168,0.0007825416115564692,0.5426760812788222,0.0405713744677307
SBUX,0.0006907735811250677,0.019950169334803203,0.000679512168717,0.5210280373831776,-43.164159535711356,342,1.0576687255400914,-1.9707169507459277e-05,0.028657699715865015,-0.0278039028794995,-0.04554175866709365,0.0007036154261634685,0.5761790366086116,0.0014500130720464365
SCHW,0.0011227214224148769,0.024608840412390327,0.00048839550645035,0.508177570093458,-44.331309036492705,261,1.137246848313082,0.0003587846859557758,0.04078509131466094,-0.034070584433188174,-0.05305943514262197,0.0007475978259456389,0.5393991905310871,0.024194954343048525
